# File: A32.india_state_industry_tech_eff.csv
# Title: Industry default efficiencies
# Units: Unitless
# Column types: cccccnnnnnnnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,secondary.output,1971,2005,2020,2035,2050,2065,2080,2095,2100
Paper and Pulp_enuse,electricity,electricity,elect_td_ind,,0.934196861,1,1.015,1.125782434,1.236564868,1.347347302,1.347347302,1.347347302,1.754162465
Paper and Pulp_enuse,gas,gas,wholesale gas,,0.825830025,0.884,0.898,0.996012439,1.094024878,1.192037318,1.192037318,1.192037318,1.551958516
Paper and Pulp_enuse,gas,gas cogen,wholesale gas,electricity,0.563320707,0.603,0.612,0.678796896,0.745593792,0.812390689,0.812390689,0.812390689,1.057682196
Paper and Pulp_enuse,hydrogen,hydrogen,H2 enduse,,1,1,1,1.109145255,1.218290511,1.327435766,1.327435766,1.327435766,1.728238882
Paper and Pulp_enuse,hydrogen,hydrogen cogen,H2 enduse,electricity,0.457,0.457,0.457,0.506879382,0.556758763,0.606638145,0.606638145,0.606638145,0.789805169
Paper and Pulp_enuse,refined liquids,refined liquids,refined liquids industrial,,0.917381318,0.982,1.001,1.110254401,1.219508801,1.328763202,1.328763202,1.328763202,1.729967121
Paper and Pulp_enuse,refined liquids,refined liquids cogen,refined liquids industrial,electricity,0.565189101,0.605,0.614,0.681015187,0.748030373,0.81504556,0.81504556,0.81504556,1.061138673
Chem_Fert_fsuse,coal,coal,delivered coal,,1,1,1,1,1,1,1,1,1
Chem_Fert_fsuse,gas,gas,wholesale gas,,1,1,1,1,1,1,1,1,1
Chem_Fert_fsuse,refined liquids,refined liquids,refined liquids industrial,,1,1,1,1,1,1,1,1,1
Chem_Fert_fsuse,hydrogen,hydrogen,H2 enduse,,1,1,1,1,1,1,1,1,1
Other Industries_fsuse,coal,coal,delivered coal,,1,1,1,1,1,1,1,1,1
Other Industries_fsuse,gas,gas,wholesale gas,,1,1,1,1,1,1,1,1,1
Other Industries_fsuse,refined liquids,refined liquids,refined liquids industrial,,1,1,1,1,1,1,1,1,1
Other Industries_fsuse,hydrogen,hydrogen,H2 enduse,,1,1,1,1,1,1,1,1,1
Iron and Steel_fsuse,coal,coal,delivered coal,,1,1,1,1,1,1,1,1,1
Iron and Steel_fsuse,gas,gas,wholesale gas,,1,1,1,1,1,1,1,1,1
Iron and Steel_fsuse,refined liquids,refined liquids,refined liquids industrial,,1,1,1,1,1,1,1,1,1
Iron and Steel_fsuse,hydrogen,hydrogen,H2 enduse,,1,1,1,1,1,1,1,1,1
Food Processing_enuse,biomass,biomass,delivered biomass,,0.746423292,0.799,0.797,0.804,0.81,0.816,0.823,0.828,0.828
Food Processing_enuse,biomass,biomass cogen,delivered biomass,electricity,0.515676667,0.552,0.56,0.568,0.577,0.586,0.595,0.604,0.604
Food Processing_enuse,coal,coal,delivered coal,,0.808080285,0.865,0.891,0.901,0.909,0.917,0.926,0.936,0.936
Food Processing_enuse,coal,coal cogen,delivered coal,electricity,0.582004645,0.623,0.629,0.636,0.644,0.652,0.661,0.67,0.67
Food Processing_enuse,electricity,electricity,elect_td_ind,,0.934196861,1,1.015,1.03,1.046,1.062,1.078,1.094,1.094
Food Processing_enuse,gas,gas,wholesale gas,,0.825830025,0.884,0.898,0.913,0.926,0.941,0.955,0.969,0.969
Food Processing_enuse,gas,gas cogen,wholesale gas,electricity,0.563320707,0.603,0.612,0.621,0.63,0.64,0.649,0.659,0.659
Food Processing_enuse,hydrogen,hydrogen,H2 enduse,,1,1,1,1.015,1.03,1.046,1.062,1.078,1.078
Food Processing_enuse,hydrogen,hydrogen cogen,H2 enduse,electricity,0.457,0.457,0.457,0.464,0.471,0.478,0.485,0.492,0.492
Food Processing_enuse,refined liquids,refined liquids,refined liquids industrial,,0.917381318,0.982,1.001,1.018,1.033,1.047,1.062,1.077,1.077
Food Processing_enuse,refined liquids,refined liquids cogen,refined liquids industrial,electricity,0.565189101,0.605,0.614,0.623,0.632,0.642,0.652,0.662,0.662
